,cell_type_dc_sub_final
54871,Breast cancer subtype 3
54872,Breast cancer subtype 1
54873,Breast cancer subtype 1
54874,Breast cancer subtype 3
54875,Stromal cells
54876,Breast cancer subtype 1
54877,Breast cancer subtype 1
54878,Breast cancer subtype 1
54879,Macrophages
54880,Breast cancer subtype 1
54881,Breast cancer subtype 1
54882,Breast cancer subtype 1
54883,Stromal cells
54884,Smooth muscle cells
54885,Breast cancer subtype 1
54886,Macrophages
54887,Breast cancer subtype 1
54888,Endothelial cells
54889,Breast cancer subtype 1
54890,Breast cancer subtype 1
54891,Breast cancer subtype 1
54892,Breast cancer subtype 1
54893,Breast cancer subtype 1
54894,Breast cancer subtype 1
54895,Macrophages
54896,Breast cancer subtype 1
54897,Macrophages
54899,Breast cancer subtype 1
54900,Breast cancer subtype 1
54901,Breast cancer subtype 1
54902,Breast cancer subtype 1
54903,Breast cancer subtype 1
54904,Breast cancer subtype 1
54905,Stromal cells
54906,Breast cancer subtype 1
54907,Macrophages
54908,Breast cancer subtype 3
54909,Breast cancer subtype 1
54910,Stromal cells
54911,Macrophages
54912,Breast cancer subtype 1
54913,Stromal cells
54914,Breast cancer subtype 1
54915,T cells
54916,Breast cancer subtype 3
54917,Smooth muscle cells
54918,Endothelial cells
54919,Breast cancer subtype 1
54920,Breast cancer subtype 1
54921,Breast cancer subtype 1
54922,Stromal cells
54923,Endothelial cells
54924,Endothelial cells
54925,Stromal cells
54926,Breast cancer subtype 1
54927,Breast cancer subtype 3
54928,Breast cancer subtype 1
54929,Breast cancer subtype 1
54930,Breast cancer subtype 1
54931,Breast cancer subtype 1
54932,T cells
54933,Breast cancer subtype 1
54934,Endothelial cells
54935,Breast cancer subtype 1
54936,Breast cancer subtype 1
54937,Macrophages
54938,Breast cancer subtype 1
54939,Breast cancer subtype 1
54940,Breast cancer subtype 1
54941,T cells
54942,Breast cancer subtype 1
54943,Endothelial cells
54945,Breast cancer subtype 1
54946,Breast cancer subtype 1
54947,Breast cancer subtype 1
54948,Breast cancer subtype 1
54949,Breast cancer subtype 1
54950,Breast cancer subtype 1
54951,Breast cancer subtype 1
54952,Breast cancer subtype 1
54953,Breast cancer subtype 1
54954,Breast cancer subtype 1
54955,Breast cancer subtype 1
54956,Breast cancer subtype 1
54957,Breast cancer subtype 1
54958,Breast cancer subtype 1
54959,Breast cancer subtype 1
54960,Breast cancer subtype 1
54961,Breast cancer subtype 1
54962,Breast cancer subtype 1
54963,Breast cancer subtype 1
54964,Breast cancer subtype 3
54965,Breast cancer subtype 1
54966,Breast cancer subtype 1
54967,Breast cancer subtype 1
54968,Breast cancer subtype 1
54969,T cells
54970,Breast cancer subtype 1
54971,Smooth muscle cells
54972,T cells
54973,Endothelial cells
54974,Breast cancer subtype 1
54975,Breast cancer subtype 1
54977,T cells
54978,Endothelial cells
54979,Breast cancer subtype 1
54980,Endothelial cells
54981,Stromal cells
54982,Stromal cells
54983,Breast cancer subtype 3
54985,Smooth muscle cells
54986,Breast cancer subtype 1
54987,Macrophages
54988,Breast cancer subtype 1
54989,Breast cancer subtype 3
54990,Breast cancer subtype 1
54991,Breast cancer subtype 1
54992,Breast cancer subtype 1
54993,Breast cancer subtype 1
54994,Breast cancer subtype 3
54995,T cells
54996,Endothelial cells
54997,T cells
54998,B cells
54999,Breast cancer subtype 1
55000,Smooth muscle cells
55001,Breast cancer subtype 1
55002,Breast cancer subtype 1
55003,Breast cancer subtype 3
55004,Breast cancer subtype 1
55005,Breast cancer subtype 3
55006,T cells
55007,Breast cancer subtype 1
55008,Breast cancer subtype 3
55009,Breast cancer subtype 1
55010,Macrophages
55011,Breast cancer subtype 3
55012,Stromal cells
55013,Breast cancer subtype 1
55014,Breast cancer subtype 1
55015,Stromal cells
55016,Breast cancer subtype 1
55017,Breast cancer subtype 3
55018,Breast cancer subtype 3
55019,Stromal cells
55020,Breast cancer subtype 1
55021,Breast cancer subtype 1
55022,Breast cancer subtype 1
55023,Breast cancer subtype 1
55024,Breast cancer subtype 1
55025,Endothelial cells
55026,Breast cancer subtype 1
55027,Breast cancer subtype 1
55028,Endothelial cells
55029,Breast cancer subtype 1
55030,Breast cancer subtype 1
55031,Breast cancer subtype 1
55032,Breast cancer subtype 1
55033,Breast cancer subtype 2
55034,Breast cancer subtype 1
55035,Macrophages
55036,Breast cancer subtype 1
55037,Smooth muscle cells
55038,Macrophages
55039,Breast cancer subtype 1
55040,Breast cancer subtype 1
55041,Breast cancer subtype 1
55042,Breast cancer subtype 1
55043,Macrophages
55044,Breast cancer subtype 1
55045,Macrophages
55046,T cells
55047,Breast cancer subtype 1
55048,Breast cancer subtype 1
55049,T cells
55050,T cells
55051,Breast cancer subtype 1
55052,Breast cancer subtype 1
55053,Breast cancer subtype 1
55054,Breast cancer subtype 1
55055,Breast cancer subtype 1
55056,Breast cancer subtype 1
55057,Breast cancer subtype 1
55058,Breast cancer subtype 1
55059,Breast cancer subtype 1
55060,Breast cancer subtype 1
55061,Breast cancer subtype 1
55062,Breast cancer subtype 1
55063,Breast cancer subtype 1
55064,Breast cancer subtype 1
55065,Endothelial cells
55066,Smooth muscle cells
55067,Breast cancer subtype 1
55068,Breast cancer subtype 1
55069,Stromal cells
55070,Breast cancer subtype 1
55071,Breast cancer subtype 1
55072,Breast cancer subtype 1
55073,Breast cancer subtype 1
55074,Breast cancer subtype 1
55075,Breast cancer subtype 1
55076,Breast cancer subtype 3
55077,Breast cancer subtype 1
55078,Breast cancer subtype 1
55079,Breast cancer subtype 1
55080,Breast cancer subtype 1
55081,Breast cancer subtype 1
55082,Breast cancer subtype 1
55083,Breast cancer subtype 1
55084,Breast cancer subtype 1
55085,Breast cancer subtype 1
55086,Breast cancer subtype 1
55087,Breast cancer subtype 1
55088,Breast cancer subtype 1
55089,Breast cancer subtype 1
55090,Breast cancer subtype 1
55091,Breast cancer subtype 1
55093,Breast cancer subtype 1
55094,Breast cancer subtype 1
55095,Breast cancer subtype 1
55096,Breast cancer subtype 1
55097,Breast cancer subtype 1
55098,Breast cancer subtype 1
55099,Breast cancer subtype 1
55100,Breast cancer subtype 1
55101,Stromal cells
55102,Breast cancer subtype 1
55103,Breast cancer subtype 3
55104,Macrophages
55105,Breast cancer subtype 1
55106,Breast cancer subtype 1
55107,Macrophages
55108,Breast cancer subtype 1
55109,Breast cancer subtype 1
55110,Breast cancer subtype 1
55111,Breast cancer subtype 1
55112,Breast cancer subtype 1
55113,Breast cancer subtype 1
55114,Breast cancer subtype 1
55115,Breast cancer subtype 1
55116,Breast cancer subtype 1
55117,Breast cancer subtype 1
55118,Breast cancer subtype 1
55119,Breast cancer subtype 1
55120,Breast cancer subtype 1
55121,Breast cancer subtype 1
55122,Breast cancer subtype 1
55123,Breast cancer subtype 1
55124,Breast cancer subtype 1
55125,Breast cancer subtype 1
55126,Breast cancer subtype 1
55127,Breast cancer subtype 1
55128,Breast cancer subtype 1
55129,Breast cancer subtype 1
55130,Breast cancer subtype 1
55131,Breast cancer subtype 1
55132,Breast cancer subtype 1
55133,Breast cancer subtype 1
55134,Breast cancer subtype 1
55135,Breast cancer subtype 1
55136,Breast cancer subtype 1
55137,Macrophages
55138,Breast cancer subtype 1
55140,Breast cancer subtype 1
55141,Breast cancer subtype 1
55142,Breast cancer subtype 1
55143,Breast cancer subtype 1
55144,Stromal cells
55145,Breast cancer subtype 3
55147,Breast cancer subtype 1
55148,Breast cancer subtype 1
55149,Breast cancer subtype 1
55150,Breast cancer subtype 1
55151,Macrophages
55152,Macrophages
55153,Endothelial cells
55154,Breast cancer subtype 1
55155,Breast cancer subtype 1
55156,Breast cancer subtype 1
55157,Breast cancer subtype 1
55158,Breast cancer subtype 1
55159,Breast cancer subtype 1
55160,Breast cancer subtype 1
55161,Breast cancer subtype 1
55162,Breast cancer subtype 1
55163,Breast cancer subtype 1
55164,Breast cancer subtype 1
55165,Breast cancer subtype 1
55166,Breast cancer subtype 1
55167,Breast cancer subtype 1
55168,Breast cancer subtype 1
55169,Breast cancer subtype 1
55170,Breast cancer subtype 1
55171,Breast cancer subtype 1
55172,Breast cancer subtype 1
55173,Breast cancer subtype 1
55174,Breast cancer subtype 1
55175,Breast cancer subtype 1
55176,Breast cancer subtype 1
55177,Breast cancer subtype 1
55178,Breast cancer subtype 1
55179,Breast cancer subtype 1
55180,Breast cancer subtype 1
55181,Breast cancer subtype 1
55182,Breast cancer subtype 5
55183,Breast cancer subtype 1
55184,Breast cancer subtype 1
55185,Breast cancer subtype 1
55186,Breast cancer subtype 1
55187,Breast cancer subtype 1
55188,Breast cancer subtype 1
55189,Endothelial cells
55190,Breast cancer subtype 1
55191,Breast cancer subtype 1
55192,Stromal cells
55193,Endothelial cells
55194,Smooth muscle cells
55195,Stromal cells
55196,Stromal cells
55197,B cells
55198,Macrophages
55199,B cells
55200,Stromal cells
55201,B cells
55202,Macrophages
55203,Macrophages
55204,Stromal cells
55205,T cells
55206,B cells
55207,Adipocytes
55208,T cells
55209,T cells
55210,Macrophages
55211,Macrophages
55212,Stromal cells
55213,Macrophages
55214,T cells
55215,B cells
55216,Macrophages
55217,Stromal cells
55218,T cells
55219,Macrophages
55220,T cells
55221,Stromal cells
55222,Stromal cells
55223,T cells
55224,Stromal cells
55225,T cells
55226,T cells
55227,Breast cancer subtype 1
55228,Breast cancer subtype 1
55229,Breast cancer subtype 1
55230,Stromal cells
55231,Macrophages
55232,Breast cancer subtype 1
55233,Macrophages
55234,Breast cancer subtype 1
55235,Macrophages
55236,B cells
55237,Breast cancer subtype 1
55238,Breast cancer subtype 1
55239,Breast cancer subtype 1
55240,T cells
55241,Macrophages
55242,Breast cancer subtype 1
55243,Macrophages
55244,T cells
55245,Breast cancer subtype 1
55246,Breast cancer subtype 1
55247,Stromal cells
55248,Breast cancer subtype 1
55249,Breast cancer subtype 1
55250,Breast cancer subtype 1
55251,Macrophages
55252,Stromal cells
55253,Breast cancer subtype 1
55254,Breast cancer subtype 3
55255,Breast cancer subtype 1
55256,Breast cancer subtype 3
55257,Breast cancer subtype 1
55258,Breast cancer subtype 1
55259,Breast cancer subtype 3
55260,Breast cancer subtype 3
55261,Macrophages
55262,B cells
55263,T cells
55264,Stromal cells
55265,Macrophages
55266,Macrophages
55267,B cells
55268,Macrophages
55269,T cells
55270,T cells
55271,Stromal cells
55272,T cells
55273,Macrophages
55274,Macrophages
55275,T cells
55276,T cells
55277,Macrophages
55278,T cells
55279,T cells
55280,T cells
55281,B cells
55282,Macrophages
55283,T cells
55284,Macrophages
55285,T cells
55286,Macrophages
55288,T cells
55289,T cells
55290,T cells
55291,T cells
55292,Stromal cells
55293,Breast cancer subtype 1
55294,T cells
55296,T cells
55297,Macrophages
55298,Stromal cells
55299,B cells
55300,Macrophages
55301,T cells
55302,T cells
55303,T cells
55304,Stromal cells
55305,Stromal cells
55306,B cells
55307,Breast cancer subtype 3
55308,Stromal cells
55309,Breast cancer subtype 1
55310,Macrophages
55311,Breast cancer subtype 1
55312,Breast cancer subtype 1
55313,T cells
55314,Macrophages
55315,Breast cancer subtype 1
55316,B cells
55317,T cells
55318,B cells
55319,T cells
55320,Stromal cells
55321,T cells
55322,Stromal cells
55323,T cells
55324,Stromal cells
55325,Breast cancer subtype 1
55326,T cells
55327,T cells
55328,Breast cancer subtype 3
55330,Smooth muscle cells
55331,Macrophages
55332,Breast cancer subtype 1
55333,T cells
55334,T cells
55335,Macrophages
55336,Endothelial cells
55337,Macrophages
55338,T cells
55339,T cells
55340,Breast cancer subtype 1
55341,Breast cancer subtype 1
55342,Breast cancer subtype 1
55343,Breast cancer subtype 1
55344,Breast cancer subtype 1
55345,Breast cancer subtype 1
55346,Breast cancer subtype 1
55347,Breast cancer subtype 3
55348,Breast cancer subtype 1
55349,Breast cancer subtype 1
55350,Breast cancer subtype 1
55351,Breast cancer subtype 1
55352,T cells
55353,Breast cancer subtype 1
55354,Breast cancer subtype 1
55355,Breast cancer subtype 1
55356,T cells
55357,Macrophages
55358,Breast cancer subtype 1
55359,Breast cancer subtype 1
55360,Smooth muscle cells
55361,Breast cancer subtype 1
55362,Endothelial cells
55363,Endothelial cells
55364,Breast cancer subtype 1
55365,B cells
55366,Breast cancer subtype 1
55368,Breast cancer subtype 1
55369,Macrophages
55370,Breast cancer subtype 1
55371,Breast cancer subtype 1
55372,B cells
55373,T cells
55374,Breast cancer subtype 1
55375,Breast cancer subtype 1
55376,Breast cancer subtype 1
55377,T cells
55378,T cells
55379,B cells
55380,Macrophages
55381,Macrophages
55382,Macrophages
55383,T cells
55384,Breast cancer subtype 3
55385,Breast cancer subtype 3
55387,B cells
55388,T cells
55389,Endothelial cells
55390,Endothelial cells
55391,T cells
55392,T cells
55393,T cells
55394,Endothelial cells
55395,Macrophages
55396,T cells
55397,T cells
55398,Macrophages
55399,T cells
55400,Macrophages
55401,Endothelial cells
55402,T cells
55403,T cells
55404,Stromal cells
55405,Macrophages
55406,Stromal cells
55407,Macrophages
55408,Macrophages
55409,T cells
55410,T cells
55411,Macrophages
55412,Macrophages
55413,T cells
55414,T cells
55415,Stromal cells
55416,Macrophages
55417,Breast cancer subtype 1
55418,Stromal cells
55419,Breast cancer subtype 1
55420,Breast cancer subtype 1
55421,Breast cancer subtype 1
55422,Breast cancer subtype 1
55423,Breast cancer subtype 1
55424,Breast cancer subtype 1
55425,Breast cancer subtype 1
55426,Breast cancer subtype 1
55427,Breast cancer subtype 1
55428,Breast cancer subtype 1
55429,Breast cancer subtype 1
55430,Macrophages
55431,Breast cancer subtype 1
55432,Breast cancer subtype 1
55433,Breast cancer subtype 1
55434,Breast cancer subtype 1
55435,Breast cancer subtype 1
55436,Breast cancer subtype 1
55437,T cells
55438,T cells
55439,T cells
55440,T cells
55441,B cells
55442,T cells
55444,T cells
55445,T cells
55446,Endothelial cells
55447,T cells
55448,T cells
55449,T cells
55450,Smooth muscle cells
55452,Endothelial cells
55453,Smooth muscle cells
55454,T cells
55455,T cells
55456,T cells
55457,T cells
55458,T cells
55459,Endothelial cells
55460,T cells
55461,T cells
55462,T cells
55463,T cells
55464,T cells
55465,T cells
55466,T cells
55467,T cells
55468,T cells
55469,T cells
55470,Endothelial cells
55471,Stromal cells
55473,T cells
55474,T cells
55475,T cells
55476,Macrophages
55477,T cells
55478,Smooth muscle cells
55479,T cells
55480,T cells
55481,T cells
55482,Macrophages
55483,T cells
55484,Macrophages
55485,T cells
55486,T cells
55487,Stromal cells
55488,Stromal cells
55489,T cells
55490,Macrophages
55491,Breast cancer subtype 1
55492,Stromal cells
55494,Macrophages
55495,Breast cancer subtype 3
55496,Stromal cells
55497,Breast cancer subtype 1
55498,Macrophages
55499,Breast cancer subtype 1
55500,Breast cancer subtype 1
55501,Breast cancer subtype 1
55502,Stromal cells
55503,Breast cancer subtype 1
55504,Breast cancer subtype 1
55505,Macrophages
55506,Breast cancer subtype 1
55507,T cells
55508,T cells
55509,Breast cancer subtype 1
55510,Breast cancer subtype 3
55511,Breast cancer subtype 1
55512,Breast cancer subtype 3
55513,Breast cancer subtype 1
55514,Breast cancer subtype 1
55515,Breast cancer subtype 1
55516,Breast cancer subtype 1
55517,Breast cancer subtype 1
55518,T cells
55519,T cells
55520,T cells
55521,T cells
55522,T cells
55524,T cells
55525,Macrophages
55526,T cells
55527,T cells
55528,T cells
55529,T cells
55530,T cells
55531,T cells
55532,T cells
55533,T cells
55534,T cells
55535,B cells
55536,T cells
55537,T cells
55538,T cells
55539,T cells
55540,T cells
55541,T cells
55542,T cells
55543,T cells
55544,T cells
55545,T cells
55546,T cells
55547,T cells
55548,T cells
55549,B cells
55550,T cells
55551,Endothelial cells
55552,T cells
55553,T cells
55554,T cells
55555,T cells
55556,T cells
55557,Macrophages
55558,B cells
55559,Macrophages
55560,T cells
55561,T cells
55562,T cells
55563,T cells
55564,T cells
55565,T cells
55566,T cells
55567,T cells
55568,T cells
55569,T cells
55570,T cells
55571,T cells
55572,T cells
55573,T cells
55574,T cells
55575,T cells
55576,T cells
55577,T cells
55578,T cells
55579,T cells
55580,T cells
55581,T cells
55582,T cells
55583,T cells
55584,T cells
55585,T cells
55586,T cells
55587,T cells
55588,T cells
55589,T cells
55590,T cells
55591,T cells
55592,T cells
55593,T cells
55595,T cells
55596,T cells
55597,T cells
55598,T cells
55599,Endothelial cells
55600,T cells
55601,T cells
55602,T cells
55603,T cells
55604,T cells
55605,Smooth muscle cells
55606,T cells
55607,Endothelial cells
55608,T cells
55609,T cells
55610,T cells
55611,T cells
55612,Smooth muscle cells
55613,T cells
55614,T cells
55615,T cells
55616,T cells
55617,T cells
55618,T cells
55619,T cells
55620,Endothelial cells
55622,T cells
55623,T cells
55624,T cells
55625,T cells
55626,T cells
55627,T cells
55628,T cells
55629,T cells
55630,T cells
55631,T cells
55632,T cells
55633,T cells
55634,T cells
55635,T cells
55636,T cells
55637,T cells
55638,T cells
55639,T cells
55640,B cells
55641,T cells
55642,Endothelial cells
55643,Breast cancer subtype 3
55644,Breast cancer subtype 1
55645,T cells
55646,Endothelial cells
55647,Stromal cells
55648,Breast cancer subtype 1
55649,T cells
55650,Endothelial cells
55651,Stromal cells
55652,T cells
55653,Endothelial cells
55654,Stromal cells
55655,Macrophages
55656,Macrophages
55657,Endothelial cells
55658,Macrophages
55659,Endothelial cells
55660,Smooth muscle cells
55661,Stromal cells
55662,Macrophages
55663,T cells
55664,Endothelial cells
55665,Macrophages
55666,Endothelial cells
55667,Breast cancer subtype 1
55668,Breast cancer subtype 1
55669,Breast cancer subtype 1
55670,T cells
55671,T cells
55672,T cells
55673,B cells
55674,T cells
55675,T cells
55676,T cells
55677,T cells
55678,Stromal cells
55679,T cells
55681,Stromal cells
55682,T cells
55683,T cells
55684,Macrophages
55685,T cells
55686,B cells
55687,T cells
55688,T cells
55689,T cells
55690,B cells
55691,T cells
55692,Macrophages
55693,T cells
55694,B cells
55695,T cells
55696,Macrophages
55697,T cells
55698,Macrophages
55699,B cells
55700,Stromal cells
55701,T cells
55702,Macrophages
55703,T cells
55704,Macrophages
55705,T cells
55706,T cells
55707,B cells
55708,T cells
55709,T cells
55710,T cells
55711,B cells
55712,Stromal cells
55713,Macrophages
55715,Macrophages
55716,Stromal cells
55717,Stromal cells
55718,Macrophages
55719,T cells
55720,T cells
55721,T cells
55722,T cells
55723,T cells
55724,T cells
55725,T cells
55726,T cells
55727,Stromal cells
55728,B cells
55729,B cells
55730,Stromal cells
55731,Breast cancer subtype 1
55732,T cells
55733,Breast cancer subtype 1
55735,Macrophages
55736,T cells
55737,B cells
55739,Breast cancer subtype 1
55740,T cells
55741,Breast cancer subtype 1
55742,Breast cancer subtype 1
55743,Breast cancer subtype 1
55744,Breast cancer subtype 1
55745,Breast cancer subtype 1
55746,Breast cancer subtype 1
55747,Breast cancer subtype 1
55748,Breast cancer subtype 1
55749,Breast cancer subtype 1
55750,Breast cancer subtype 1
55751,Breast cancer subtype 1
55752,Breast cancer subtype 1
55753,Breast cancer subtype 1
55754,Breast cancer subtype 1
55755,Breast cancer subtype 1
55756,Breast cancer subtype 1
55757,Breast cancer subtype 1
55758,Breast cancer subtype 1
55759,Breast cancer subtype 1
55760,Breast cancer subtype 1
55761,Breast cancer subtype 1
55762,Breast cancer subtype 1
55763,Breast cancer subtype 1
55764,Breast cancer subtype 1
55765,Breast cancer subtype 1
55766,Breast cancer subtype 1
55767,Breast cancer subtype 1
55768,Breast cancer subtype 1
55769,Breast cancer subtype 1
55770,Breast cancer subtype 1
55771,Breast cancer subtype 1
55772,Breast cancer subtype 1
55773,Breast cancer subtype 1
55774,Breast cancer subtype 1
55775,Breast cancer subtype 1
55776,Breast cancer subtype 1
55777,Breast cancer subtype 1
55778,Breast cancer subtype 1
55779,Breast cancer subtype 1
55780,Breast cancer subtype 1
55781,Breast cancer subtype 1
55782,Breast cancer subtype 1
55783,Breast cancer subtype 1
55784,Breast cancer subtype 1
55785,Breast cancer subtype 1
55786,Breast cancer subtype 1
55787,Breast cancer subtype 1
55788,Breast cancer subtype 1
55789,Breast cancer subtype 1
55790,Breast cancer subtype 1
55791,Breast cancer subtype 1
55792,Breast cancer subtype 1
55793,Breast cancer subtype 1
55794,Breast cancer subtype 1
55795,Breast cancer subtype 1
55796,Breast cancer subtype 1
55797,Breast cancer subtype 1
55798,Breast cancer subtype 1
55799,Breast cancer subtype 1
55800,Breast cancer subtype 1
55801,Breast cancer subtype 1
55802,Breast cancer subtype 1
55803,Breast cancer subtype 1
55804,Breast cancer subtype 1
55805,Breast cancer subtype 1
55806,Breast cancer subtype 1
55807,Breast cancer subtype 1
55808,Breast cancer subtype 1
55809,Breast cancer subtype 1
55810,Breast cancer subtype 3
55811,Breast cancer subtype 1
55812,Breast cancer subtype 1
55813,Breast cancer subtype 3
55814,Breast cancer subtype 1
55815,B cells
55816,T cells
55819,T cells
55820,T cells
55821,T cells
55822,T cells
55823,T cells
55824,T cells
55826,T cells
55827,T cells
55828,T cells
55829,T cells
55831,B cells
55832,T cells
55833,B cells
55834,T cells
55835,T cells
55836,Macrophages
55837,B cells
55839,T cells
55840,T cells
55841,T cells
55842,T cells
55843,B cells
55844,T cells
55845,T cells
55846,T cells
55847,T cells
55848,T cells
55849,B cells
55850,B cells
55851,T cells
55852,Stromal cells
55853,T cells
55854,B cells
55855,Macrophages
55856,T cells
55857,T cells
55859,T cells
55860,B cells
55861,Endothelial cells
55862,T cells
55863,Stromal cells
55864,B cells
55865,T cells
55866,T cells
55867,Endothelial cells
55868,T cells
55870,T cells
55871,B cells
55872,B cells
55873,B cells
55874,T cells
55875,T cells
55876,T cells
55877,T cells
55878,T cells
55879,Macrophages
55880,T cells
55881,T cells
55882,T cells
55883,T cells
55884,Macrophages
55885,Stromal cells
55886,Stromal cells
55887,Macrophages
55890,T cells
55891,T cells
55892,Stromal cells
55893,T cells
55894,T cells
55895,T cells
55896,T cells
55897,Macrophages
55898,Macrophages
55899,Macrophages
55900,B cells
55901,Macrophages
55902,Macrophages
55903,B cells
55904,T cells
55905,T cells
55907,T cells
55908,Macrophages
55909,Macrophages
55910,Macrophages
55911,T cells
55912,Endothelial cells
55913,T cells
55914,B cells
55915,T cells
55916,Endothelial cells
55917,T cells
55918,T cells
55919,Stromal cells
55920,T cells
55921,B cells
55922,Macrophages
55923,T cells
55924,Macrophages
55925,T cells
55926,Smooth muscle cells
55929,T cells
55931,B cells
55932,T cells
55933,T cells
55934,Endothelial cells
55935,Endothelial cells
55936,T cells
55937,T cells
55938,T cells
55939,T cells
55940,Endothelial cells
55941,Endothelial cells
55942,T cells
55943,Endothelial cells
55944,Endothelial cells
55945,T cells
55946,Stromal cells
55948,Breast cancer subtype 1
55949,Breast cancer subtype 1
55950,Breast cancer subtype 1
55951,Breast cancer subtype 1
55952,Breast cancer subtype 1
55953,Breast cancer subtype 1
55954,T cells
55955,Breast cancer subtype 1
55956,Breast cancer subtype 1
55957,Macrophages
55958,Breast cancer subtype 1
55959,Breast cancer subtype 1
55960,B cells
55961,Macrophages
55962,Breast cancer subtype 1
55963,Breast cancer subtype 1
55964,Macrophages
55966,Breast cancer subtype 3
55967,Breast cancer subtype 1
55969,Breast cancer subtype 1
55970,Breast cancer subtype 3
55971,Endothelial cells
55972,Breast cancer subtype 3
55973,Breast cancer subtype 3
55974,Stromal cells
55975,Macrophages
55976,Stromal cells
55977,Macrophages
55979,Macrophages
55980,T cells
55981,B cells
55982,Macrophages
55983,T cells
55984,Macrophages
55985,Breast cancer subtype 3
55986,Macrophages
55987,Breast cancer subtype 1
55988,Stromal cells
55989,Breast cancer subtype 1
55990,Breast cancer subtype 1
55991,Breast cancer subtype 1
55992,Macrophages
55993,Breast cancer subtype 3
55994,Breast cancer subtype 1
55995,Endothelial cells
55996,Smooth muscle cells
55997,T cells
55998,T cells
55999,Stromal cells
56000,Smooth muscle cells
56001,Endothelial cells
56003,Endothelial cells
56004,T cells
56005,Endothelial cells
56006,T cells
56007,Endothelial cells
56008,Smooth muscle cells
56009,T cells
56010,Smooth muscle cells
56011,Smooth muscle cells
56012,B cells
56013,T cells
56014,Macrophages
56015,T cells
56016,T cells
56017,Smooth muscle cells
56018,Endothelial cells
56019,T cells
56020,B cells
56022,Endothelial cells
56024,B cells
56025,T cells
56026,Macrophages
56027,Smooth muscle cells
56028,Macrophages
56029,B cells
56030,Macrophages
56031,Macrophages
56032,T cells
56033,Macrophages
56035,T cells
56036,T cells
56037,B cells
56038,Macrophages
56039,T cells
56040,T cells
56041,Macrophages
56043,T cells
56044,T cells
56045,Macrophages
56046,B cells
56047,Macrophages
56048,T cells
56049,T cells
56050,T cells
56051,T cells
56052,T cells
56053,T cells
56054,T cells
56055,B cells
56056,Macrophages
56057,T cells
56058,B cells
56059,Macrophages
56060,Smooth muscle cells
56061,T cells
56062,Smooth muscle cells
56063,T cells
56064,T cells
56065,T cells
56066,Endothelial cells
56067,Macrophages
56068,T cells
56069,T cells
56070,T cells
56071,Stromal cells
56072,Macrophages
56073,Macrophages
56074,T cells
56075,T cells
56076,Stromal cells
56077,Macrophages
56078,Stromal cells
56079,Stromal cells
56080,T cells
56081,Stromal cells
56082,Macrophages
56083,Macrophages
56084,T cells
56085,T cells
56087,B cells
56088,Stromal cells
56089,T cells
56090,Stromal cells
56091,B cells
56092,Stromal cells
56093,B cells
56094,Macrophages
56095,Macrophages
56096,T cells
56097,T cells
56098,T cells
56099,Stromal cells
56100,Stromal cells
56101,Stromal cells
56102,B cells
56103,T cells
56104,B cells
56105,T cells
56107,Macrophages
56108,Macrophages
56109,Macrophages
56110,T cells
56111,B cells
56112,T cells
56113,Macrophages
56114,Stromal cells
56115,Stromal cells
56116,Stromal cells
56117,T cells
56118,Stromal cells
56119,Stromal cells
56120,T cells
56121,Macrophages
56122,Stromal cells
56123,B cells
56124,Breast cancer subtype 1
56125,Breast cancer subtype 1
56126,Breast cancer subtype 1
56127,Breast cancer subtype 1
56128,Breast cancer subtype 1
56129,Breast cancer subtype 1
56130,Breast cancer subtype 1
56131,Breast cancer subtype 1
56132,Breast cancer subtype 1
56133,Breast cancer subtype 1
56134,Breast cancer subtype 1
56135,Breast cancer subtype 1
56136,Breast cancer subtype 1
56137,Breast cancer subtype 1
56138,Breast cancer subtype 1
56139,Breast cancer subtype 1
56140,Breast cancer subtype 1
56141,Breast cancer subtype 1
56142,Breast cancer subtype 1
56143,Breast cancer subtype 1
56144,Breast cancer subtype 1
56145,Breast cancer subtype 1
56146,Breast cancer subtype 1
56147,Breast cancer subtype 1
56148,Breast cancer subtype 1
56149,Breast cancer subtype 1
56150,Breast cancer subtype 1
56151,Breast cancer subtype 1
56152,Breast cancer subtype 1
56153,Breast cancer subtype 1
56154,Breast cancer subtype 3
56155,Breast cancer subtype 1
56156,Breast cancer subtype 1
56157,Breast cancer subtype 3
56158,Breast cancer subtype 1
56159,Breast cancer subtype 1
56160,Breast cancer subtype 1
56161,Breast cancer subtype 1
56162,Stromal cells
56163,Breast cancer subtype 1
56164,Breast cancer subtype 1
56165,Breast cancer subtype 1
56166,T cells
56167,T cells
56168,Breast cancer subtype 1
56169,Breast cancer subtype 1
56170,Breast cancer subtype 1
56171,T cells
56172,Breast cancer subtype 1
56173,Breast cancer subtype 1
56174,Breast cancer subtype 1
56175,Stromal cells
56176,Stromal cells
56177,Breast cancer subtype 1
56178,Breast cancer subtype 1
56179,Breast cancer subtype 1
56180,Breast cancer subtype 1
56182,Breast cancer subtype 1
56183,Breast cancer subtype 1
56184,Breast cancer subtype 3
56185,T cells
56186,Breast cancer subtype 3
56187,Macrophages
56188,Macrophages
56189,Breast cancer subtype 3
56190,Macrophages
56191,Breast cancer subtype 3
56192,Macrophages
56193,T cells
56194,T cells
56195,Breast cancer subtype 3
56196,Macrophages
56197,Breast cancer subtype 3
56198,Breast cancer subtype 1
