,cell_type_dc_sub_final
299,Macrophages
300,Stromal cells
302,Endothelial cells
303,Endothelial cells
304,Macrophages
305,Stromal cells
306,Macrophages
308,Breast cancer subtype 1
309,Macrophages
310,Breast cancer subtype 1
311,Breast cancer subtype 1
312,T cells
313,T cells
314,Macrophages
315,Breast cancer subtype 1
316,Breast cancer subtype 1
317,Stromal cells
318,Breast cancer subtype 1
319,T cells
320,T cells
321,Breast cancer subtype 3
322,Breast cancer subtype 1
323,T cells
324,T cells
325,Macrophages
326,Macrophages
327,Endothelial cells
328,T cells
329,Endothelial cells
330,T cells
331,Macrophages
332,Stromal cells
333,Breast cancer subtype 1
334,B cells
335,Stromal cells
336,T cells
338,Stromal cells
339,Breast cancer subtype 1
340,T cells
341,Smooth muscle cells
342,T cells
343,Breast cancer subtype 1
344,Breast cancer subtype 1
345,Macrophages
346,Stromal cells
347,Breast cancer subtype 1
348,T cells
349,Breast cancer subtype 1
350,Macrophages
351,T cells
352,Macrophages
353,T cells
354,T cells
355,B cells
356,T cells
357,T cells
358,T cells
359,B cells
360,Macrophages
361,T cells
362,T cells
363,T cells
364,Macrophages
365,Endothelial cells
366,T cells
367,Macrophages
368,T cells
369,T cells
370,T cells
371,T cells
372,B cells
373,B cells
374,Macrophages
375,T cells
376,T cells
377,T cells
378,T cells
379,T cells
380,T cells
381,Macrophages
382,T cells
383,T cells
384,T cells
385,Smooth muscle cells
386,B cells
387,Macrophages
388,Macrophages
389,Macrophages
390,Macrophages
391,Macrophages
392,Macrophages
393,Macrophages
394,Macrophages
395,Macrophages
396,Macrophages
397,Macrophages
398,Breast cancer subtype 5
400,Breast cancer subtype 4
402,Macrophages
403,Breast myoepithelial cells
406,Breast cancer subtype 4
407,Breast cancer subtype 5
408,Breast cancer subtype 1
409,Breast cancer subtype 5
410,Breast cancer subtype 5
411,Breast cancer subtype 5
412,Breast cancer subtype 5
413,Breast cancer subtype 5
414,Breast cancer subtype 5
415,Breast cancer subtype 5
416,Breast cancer subtype 4
417,Breast cancer subtype 4
418,Macrophages
419,Breast cancer subtype 4
420,Breast cancer subtype 4
421,Breast cancer subtype 4
422,Breast cancer subtype 4
423,Breast cancer subtype 5
424,Breast cancer subtype 4
425,Breast cancer subtype 4
426,Breast cancer subtype 4
427,Breast cancer subtype 4
428,Macrophages
429,Macrophages
430,Macrophages
431,Breast cancer subtype 4
432,T cells
434,Macrophages
435,Breast cancer subtype 4
436,Breast cancer subtype 4
437,Breast cancer subtype 4
438,Macrophages
439,Macrophages
440,Macrophages
443,Breast cancer subtype 5
444,Macrophages
446,Breast cancer subtype 4
447,Breast cancer subtype 4
448,Breast cancer subtype 4
449,Breast myoepithelial cells
450,Breast cancer subtype 4
451,Breast cancer subtype 4
452,Breast cancer subtype 4
453,Breast cancer subtype 4
454,Stromal cells
455,Breast myoepithelial cells
456,Endothelial cells
457,Endothelial cells
458,Stromal cells
459,Breast myoepithelial cells
460,Endothelial cells
461,Breast cancer subtype 4
462,Breast cancer subtype 1
463,Breast myoepithelial cells
464,Breast cancer subtype 5
465,Breast myoepithelial cells
466,Breast cancer subtype 4
467,Breast cancer subtype 4
468,T cells
469,Endothelial cells
470,Breast cancer subtype 4
471,Breast myoepithelial cells
472,Breast cancer subtype 4
473,Breast cancer subtype 4
474,Macrophages
475,Breast cancer subtype 4
477,Breast myoepithelial cells
478,Macrophages
479,Breast cancer subtype 4
480,Breast cancer subtype 1
481,Breast cancer subtype 4
483,Breast cancer subtype 1
485,Breast cancer subtype 1
487,Macrophages
489,Breast cancer subtype 1
490,Macrophages
491,Breast cancer subtype 1
492,Macrophages
493,Breast cancer subtype 1
494,Breast cancer subtype 3
495,Breast cancer subtype 1
496,Stromal cells
497,Breast cancer subtype 3
498,Breast cancer subtype 1
499,Breast cancer subtype 1
500,Breast cancer subtype 1
501,Breast cancer subtype 1
502,Breast cancer subtype 1
503,Breast cancer subtype 1
504,Breast cancer subtype 1
505,Breast cancer subtype 1
506,Breast cancer subtype 1
507,Breast cancer subtype 1
508,Breast cancer subtype 1
509,Breast cancer subtype 1
510,Macrophages
511,Endothelial cells
512,Breast cancer subtype 1
513,Endothelial cells
514,Breast cancer subtype 3
515,Breast cancer subtype 3
516,Breast cancer subtype 3
517,Breast cancer subtype 1
518,Breast cancer subtype 1
519,Breast cancer subtype 1
520,Breast cancer subtype 1
521,Breast cancer subtype 1
522,Breast cancer subtype 1
523,Breast cancer subtype 1
524,Breast cancer subtype 1
525,Breast cancer subtype 1
526,Breast cancer subtype 1
527,Breast cancer subtype 1
528,Breast cancer subtype 1
529,Breast cancer subtype 1
530,Stromal cells
531,Breast cancer subtype 3
532,Breast cancer subtype 1
533,Breast cancer subtype 1
534,Stromal cells
535,Breast cancer subtype 1
536,T cells
537,Breast cancer subtype 1
538,Macrophages
539,Stromal cells
540,Endothelial cells
541,Breast cancer subtype 1
542,Breast cancer subtype 4
543,Breast cancer subtype 1
544,Breast cancer subtype 1
545,Breast cancer subtype 1
546,Macrophages
547,Macrophages
548,Breast cancer subtype 1
549,Breast cancer subtype 1
550,Breast cancer subtype 2
551,Breast cancer subtype 1
